Date,GCP,Northing,Easting,Elevation,Latitude DD.DD,Longitude DD.DD,"Crop Height, m","Yield, kg DM/ha","Moisture Content, w.b. %",Mean_NDVI,SD_NDVI
5/28/2019,T1,3077.3726,3061.3572,33.7142,43.3149,-89.333,0.48,3930,84.4%,0.28077189720557794,0.04534433463783254
5/28/2019,T2,3137.437,3060.6171,32.8211,43.3155,-89.333,0.47,3088,85.4%,0.28019959504218256,0.06442445313269064
5/28/2019,T3,3078.2725,2982.3921,34.7905,43.315,-89.334,0.42,3578,82.6%,0.2769251513768759,0.059429313423381404
5/28/2019,T4,3137.5043,2986.0653,33.2757,43.3155,-89.3339,0.41,3972,86.7%,0.30076401548022913,0.05616166648213188
5/28/2019,T5,3106.5656,3029.7739,33.4311,43.3152,-89.3334,0.46,3494,85.6%,0.26603999558002356,0.0453397387191378
5/28/2019,T6,3100.1415,2952.2609,34.3845,43.3152,-89.3343,0.57,3905,85.7%,0.30656232600813255,0.03666347911473346
5/28/2019,T7,3086.7441,2895.4163,35.0035,43.315,-89.335,0.61,4329,87.0%,0.31555301817872433,0.05476582579887428
5/28/2019,T8,3138.1026,2897.2176,35.0686,43.3155,-89.335,0.36,2622,81.2%,0.2519267844660801,0.07278861829264274
5/28/2019,T9,3207.4816,2892.1741,33.1,43.3161,-89.3351,0.6,5025,86.3%,0.3032192538732985,0.058723979955114976
5/28/2019,T10,3163.5518,2892.3986,34.2322,43.3157,-89.3351,0.62,4299,84.9%,0.27398077912093893,0.057472429768334006
5/28/2019,T11,3184.56,2950.689,33.034,43.3159,-89.3343,0.58,4729,86.9%,0.0,0.0
5/28/2019,T12,3206.0858,2984.5406,32.8895,43.3161,-89.3339,0.45,3917,84.4%,0.27505166974942524,0.061290662445806075
5/28/2019,T13,3154.003,2982.1165,33.0947,43.3156,-89.334,0.5,4287,85.1%,0.297222900308579,0.05900437810109944
5/28/2019,T14,3179.9596,3022.0739,32.828,43.3159,-89.3335,0.53,4674,85.6%,0.2763857358193191,0.059719138467708294
5/28/2019,T15,3203.0882,3061.5798,33.3516,43.3161,-89.333,0.4,3276,83.0%,0.2754020820469305,0.07169906711508568
